"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16409-14190","WR","Julio","Jones","16.850000381469727","2","9300","ATL@NO","ATL","NO","Q","Calf","",""
"16409-6504","QB","Drew","Brees","22.969999313354492","2","9000","ATL@NO","NO","ATL","","","",""
"16409-6616","QB","Matt","Ryan","26.600000381469727","2","8500","ATL@NO","ATL","NO","","","",""
"16409-14187","WR","A.J.","Green","15.5","3","8300","MIA@CIN","CIN","MIA","","","",""
"16409-29501","WR","Brandin","Cooks","20.350000381469727","2","8100","ATL@NO","NO","ATL","","","",""
"16409-14225","QB","Andy","Dalton","16.306666056315105","3","7500","MIA@CIN","CIN","MIA","","","",""
"16409-44449","WR","Willie","Snead","20.799999237060547","2","7500","ATL@NO","NO","ATL","Q","Toe","",""
"16409-24920","RB","Devonta","Freeman","7.650000095367432","2","7400","ATL@NO","ATL","NO","","","",""
"16409-21948","QB","Ryan","Tannehill","20.360000610351562","3","7400","MIA@CIN","MIA","CIN","","","",""
"16409-31394","WR","Jarvis","Landry","16.333333333333332","3","7000","MIA@CIN","MIA","CIN","Q","Shoulder","",""
"16409-14211","RB","Mark","Ingram","8.199999809265137","2","6900","ATL@NO","NO","ATL","","","",""
"16409-10777","RB","Arian","Foster","6.199999809265137","2","6800","MIA@CIN","MIA","CIN","D","Groin","",""
"16409-22018","WR","Mohamed","Sanu","10.949999809265137","2","6500","ATL@NO","ATL","NO","","","",""
"16409-27776","RB","Tevin","Coleman","14.149999618530273","2","6400","ATL@NO","ATL","NO","","","",""
"16409-31397","RB","Jeremy","Hill","12.733333587646484","3","6400","MIA@CIN","CIN","MIA","","","",""
"16409-33260","WR","DeVante","Parker","13.600000381469727","2","6200","MIA@CIN","MIA","CIN","","","",""
"16409-6679","QB","Matt","Schaub","15.300000190734863","2","6000","ATL@NO","ATL","NO","","","",""
"16409-31047","QB","AJ","McCarron","8.17999976021903","7","5900","MIA@CIN","CIN","MIA","","","",""
"16409-30989","RB","Kenyan","Drake","7.300000190734863","2","5900","MIA@CIN","MIA","CIN","","","",""
"16409-40669","WR","Tyler","Boyd","5.166666666666667","3","5700","MIA@CIN","CIN","MIA","","","",""
"16409-25290","RB","Giovani","Bernard","10.366666793823242","3","5700","MIA@CIN","CIN","MIA","","","",""
"16409-46882","RB","Jay","Ajayi","6.650000095367432","2","5700","MIA@CIN","MIA","CIN","","","",""
"16409-11495","WR","Brandon","LaFell","6.900000254313151","3","5600","MIA@CIN","CIN","MIA","","","",""
"16409-6808","QB","Matt","Moore","0.36000001430511475","1","5500","MIA@CIN","MIA","CIN","","","",""
"16409-6664","TE","Jacob","Tamme","12.050000190734863","2","5500","ATL@NO","ATL","NO","","","",""
"16409-21971","TE","Coby","Fleener","2.5","2","5500","ATL@NO","NO","ATL","","","",""
"16409-33557","TE","Tyler","Eifert","12.73076923076923","13","5500","MIA@CIN","CIN","MIA","Q","Ankle","",""
"16409-14292","TE","Jordan","Cameron","5.333333333333333","3","5400","MIA@CIN","MIA","CIN","O","Concussion","",""
"16409-27457","WR","Kenny","Stills","7.700000127156575","3","5200","MIA@CIN","MIA","CIN","","","",""
"16409-28573","WR","Michael","Thomas","8.199999809265137","2","5200","ATL@NO","NO","ATL","","","",""
"16409-22258","RB","Travaris","Cadet","5.849999904632568","2","5100","ATL@NO","NO","ATL","","","",""
"16409-30253","QB","Jeff","Driskel","0","0","5000","MIA@CIN","CIN","MIA","","","",""
"16409-45797","QB","Garrett","Grayson","0","1","5000","ATL@NO","NO","ATL","","","",""
"16409-8051","QB","Luke","McCown","6.199999809265137","2","5000","ATL@NO","NO","ATL","","","",""
"16409-70127","QB","Griffin","Neal","0","0","5000","ATL@NO","NO","ATL","","","",""
"16409-47772","QB","Brandon","Doughty","0","0","5000","MIA@CIN","MIA","CIN","","","",""
"16409-44500","QB","Keith","Wenning","0","0","5000","MIA@CIN","CIN","MIA","","","",""
"16409-33137","WR","Justin","Hardy","3.9000000953674316","2","5000","ATL@NO","ATL","NO","","","",""
"16409-26038","TE","Tyler","Kroft","5","1","4800","MIA@CIN","CIN","MIA","","","",""
"16409-6828","RB","Tim","Hightower","1.2000000476837158","2","4800","ATL@NO","NO","ATL","","","",""
"16409-31207","TE","C.J.","Uzomah","4.466666539510091","3","4700","MIA@CIN","CIN","MIA","","","",""
"16409-10647","K","Matt","Bryant","9.5","2","4700","ATL@NO","ATL","NO","","","",""
"16409-12539","D","Miami","Dolphins","7.666666666666667","3","4600","MIA@CIN","MIA","CIN","","","",""
"16409-6636","K","Mike","Nugent","9","3","4600","MIA@CIN","CIN","MIA","","","",""
"16409-30775","WR","Justin","Hunter","4.822222391764323","9","4600","MIA@CIN","MIA","CIN","","","",""
"16409-26094","WR","Brandon","Coleman","2.5","1","4600","ATL@NO","NO","ATL","","","",""
"16409-61666","WR","Jared","Dangerfield","0","0","4500","ATL@NO","NO","ATL","","","",""
"16409-28907","WR","Alex","Erickson","0.8333333333333334","3","4500","MIA@CIN","CIN","MIA","","","",""
"16409-62633","TE","Matt","Lengel","0","0","4500","MIA@CIN","CIN","MIA","","","",""
"16409-11419","RB","C.J.","Spiller","4.93076911339393","13","4500","ATL@NO","NO","ATL","","","",""
"16409-62631","RB","Gus","Johnson","0","0","4500","ATL@NO","ATL","NO","","","",""
"16409-21984","RB","Isaiah","Pead","1.7000000476837158","1","4500","MIA@CIN","MIA","CIN","","","",""
"16409-40913","TE","Thomas","Duarte","0","0","4500","MIA@CIN","MIA","CIN","","","",""
"16409-12528","D","Cincinnati","Bengals","5","3","4500","MIA@CIN","CIN","MIA","","","",""
"16409-30228","WR","Tyler","Murphy","2.0999999046325684","1","4500","MIA@CIN","MIA","CIN","","","",""
"16409-28311","TE","MarQueis","Gray","0.699999988079071","1","4500","MIA@CIN","MIA","CIN","","","",""
"16409-22116","RB","Cyrus","Gray","0","0","4500","ATL@NO","ATL","NO","","","",""
"16409-26045","WR","Leonte","Carroo","2.4000000953674316","1","4500","MIA@CIN","MIA","CIN","","","",""
"16409-14266","RB","Daniel","Thomas","0","0","4500","MIA@CIN","MIA","CIN","","","",""
"16409-11556","TE","Michael","Hoomanawanui","2.910000038146973","10","4500","ATL@NO","NO","ATL","IR","Lower leg","",""
"16409-7244","RB","John","Kuhn","1.2000000476837158","2","4500","ATL@NO","NO","ATL","","","",""
"16409-28562","TE","Jake","Stoneburner","6.400000254313151","3","4500","ATL@NO","NO","ATL","","","",""
"16409-29725","TE","Levine","Toilolo","3.0999999046325684","1","4500","ATL@NO","ATL","NO","","","",""
"16409-29540","RB","Terron","Ward","2.7299999237060546","10","4500","ATL@NO","ATL","NO","","","",""
"16409-62619","K","Andrew","Franks","5.666666666666667","3","4500","MIA@CIN","MIA","CIN","","","",""
"16409-18009","TE","Chris","Manhertz","0","0","4500","ATL@NO","NO","ATL","","","",""
"16409-27338","RB","Rex","Burkhead","0","1","4500","MIA@CIN","CIN","MIA","","","",""
"16409-25789","WR","Rashawn","Scott","0","0","4500","MIA@CIN","MIA","CIN","","","",""
"16409-32703","WR","Jakeem","Grant","0","2","4500","MIA@CIN","MIA","CIN","","","",""
"16409-29304","RB","Daniel","Lasco","0","0","4500","ATL@NO","NO","ATL","","","",""
"16409-14683","RB","Patrick","DiMarco","1.2999999523162842","1","4500","ATL@NO","ATL","NO","","","",""
"16409-48380","K","Wil","Lutz","9.5","2","4500","ATL@NO","NO","ATL","","","",""
"16409-29805","RB","Ryan","Hewitt","1.5444444020589192","9","4500","MIA@CIN","CIN","MIA","","","",""
"16409-40126","TE","Austin","Hooper","5.900000095367432","2","4500","ATL@NO","ATL","NO","","","",""
"16409-30684","RB","Brandon","Wilds","0","0","4500","ATL@NO","ATL","NO","","","",""
"16409-28408","WR","Kyle","Prater","0","0","4500","ATL@NO","NO","ATL","IR","Undisclosed","",""
"16409-27199","RB","Marcus","Murphy","0","1","4500","ATL@NO","NO","ATL","","","",""
"16409-45472","TE","Garrett","Griffin","0","0","4500","ATL@NO","NO","ATL","","","",""
"16409-27441","RB","Damien","Williams","7.150000095367432","2","4500","MIA@CIN","MIA","CIN","","","",""
"16409-14277","WR","Vincent","Brown","2.700000047683716","1","4500","ATL@NO","NO","ATL","","","",""
"16409-14372","WR","Aldrick","Robinson","5.400000095367432","1","4500","ATL@NO","ATL","NO","","","",""
"16409-43826","WR","Tommylee","Lewis","0.4000000059604645","1","4500","ATL@NO","NO","ATL","","","",""
"16409-39492","TE","Josh","Hill","2.4615384615384617","13","4500","ATL@NO","NO","ATL","Q","Ankle","",""
"16409-31417","WR","James","Wright","1.1999999682108562","3","4500","MIA@CIN","CIN","MIA","","","",""
"16409-62668","TE","John","Peters","0","0","4500","MIA@CIN","CIN","MIA","","","",""
"16409-31524","WR","Cody","Core","0","0","4500","MIA@CIN","CIN","MIA","","","",""
"16409-6622","WR","Eric","Weems","0","2","4500","ATL@NO","ATL","NO","","","",""
"16409-28144","TE","Dion","Sims","4.599999904632568","2","4500","MIA@CIN","MIA","CIN","Q","Ankle","",""
"16409-7718","RB","Cedric","Peerman","0","4","4500","MIA@CIN","CIN","MIA","IR","Elbow","",""
"16409-28021","RB","Sione","Houma","0","0","4500","ATL@NO","NO","ATL","","","",""
"16409-12542","D","New Orleans","Saints","4","2","4100","ATL@NO","NO","ATL","","","",""
"16409-12525","D","Atlanta","Falcons","0.5","2","4000","ATL@NO","ATL","NO","","","",""
